id,label
0,0
1,6
2,4
3,4
4,6
5,2
6,4
7,3
8,3
9,5
10,0
11,6
12,4
13,6
14,3
15,5
16,3
17,2
18,0
19,6
20,6
21,2
22,0
23,2
24,3
25,3
26,3
27,3
28,3
29,5
30,3
31,6
32,3
33,6
34,3
35,6
36,6
37,6
38,0
39,3
40,0
41,3
42,4
43,0
44,6
45,2
46,3
47,6
48,4
49,2
50,2
51,2
52,3
53,6
54,3
55,2
56,4
57,3
58,6
59,6
60,4
61,5
62,3
63,4
64,3
65,0
66,0
67,3
68,0
69,4
70,4
71,2
72,4
73,2
74,4
75,4
76,0
77,4
78,5
79,0
80,3
81,5
82,3
83,6
84,4
85,4
86,4
87,6
88,5
89,4
90,6
91,4
92,6
93,6
94,6
95,2
96,2
97,3
98,4
99,3
100,3
101,6
102,6
103,3
104,6
105,3
106,6
107,0
108,5
109,3
110,4
111,3
112,6
113,4
114,6
115,4
116,6
117,6
118,6
119,3
120,0
121,4
122,4
123,0
124,3
125,3
126,0
127,4
128,0
129,4
130,4
131,4
132,2
133,6
134,0
135,6
136,0
137,0
138,6
139,3
140,2
141,3
142,3
143,3
144,3
145,3
146,4
147,3
148,0
149,5
150,0
151,2
152,6
153,3
154,6
155,0
156,3
157,0
158,2
159,4
160,5
161,2
162,3
163,4
164,6
165,3
166,4
167,3
168,6
169,6
170,3
171,4
172,4
173,2
174,6
175,5
176,5
177,4
178,5
179,2
180,3
181,2
182,3
183,4
184,0
185,2
186,0
187,3
188,3
189,1
190,2
191,5
192,2
193,5
194,5
195,4
196,3
197,3
198,6
199,5
200,2
201,6
202,0
203,6
204,4
205,5
206,3
207,3
208,5
209,5
210,3
211,6
212,4
213,3
214,3
215,3
216,3
217,6
218,3
219,3
220,3
221,4
222,4
223,3
224,5
225,0
226,6
227,5
228,6
229,0
230,5
231,4
232,3
233,0
234,3
235,0
236,6
237,5
238,2
239,3
240,3
241,0
242,0
243,6
244,4
245,0
246,6
247,3
248,0
249,4
250,6
251,6
252,5
253,6
254,3
255,2
256,5
257,5
258,4
259,0
260,5
261,6
262,6
263,0
264,2
265,3
266,4
267,2
268,6
269,5
270,2
271,2
272,6
273,6
274,6
275,2
276,5
277,3
278,4
279,5
280,6
281,4
282,3
283,3
284,3
285,3
286,6
287,6
288,2
289,4
290,6
291,3
292,2
293,2
294,0
295,6
296,3
297,2
298,0
299,0
300,2
301,2
302,5
303,3
304,5
305,4
306,3
307,0
308,2
309,3
310,4
311,6
312,2
313,2
314,2
315,3
316,2
317,4
318,4
319,5
320,6
321,4
322,2
323,6
324,3
325,3
326,3
327,3
328,3
329,2
330,5
331,3
332,5
333,3
334,3
335,3
336,5
337,6
338,6
339,4
340,2
341,3
342,0
343,6
344,0
345,5
346,6
347,4
348,3
349,2
350,4
351,2
352,4
353,0
354,5
355,0
356,3
357,5
358,2
359,4
360,2
361,6
362,5
363,6
364,3
365,2
366,4
367,5
368,4
369,0
370,3
371,3
372,2
373,6
374,0
375,0
376,6
377,4
378,3
379,2
380,3
381,4
382,6
383,4
384,3
385,4
386,4
387,0
388,1
389,0
390,4
391,6
392,5
393,6
394,4
395,6
396,6
397,6
398,6
399,6
400,4
401,3
402,2
403,4
404,4
405,6
406,3
407,2
408,3
409,4
410,6
411,5
412,0
413,5
414,2
415,0
416,1
417,3
418,2
419,6
420,4
421,0
422,4
423,6
424,2
425,5
426,4
427,4
428,2
429,0
430,6
431,4
432,2
433,0
434,0
435,5
436,3
437,3
438,5
439,3
440,3
441,6
442,6
443,5
444,3
445,3
446,3
447,4
448,2
449,6
450,3
451,4
452,3
453,3
454,2
455,2
456,3
457,4
458,3
459,6
460,2
461,6
462,4
463,3
464,0
465,3
466,6
467,6
